centreline_id,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct
1147378,12264.0,12264.0,,571.0,854.0,,,,
1147433,32138.3,32138.3,,1665.0,3267.0,,,,
1147439,11092.3,11092.3,,504.0,674.0,,,,
1147551,22594.0,22594.0,,1323.0,2438.0,,,,
2006451,14188.7,14188.7,,1237.0,1318.0,,,,
2111674,29608.3,29608.3,,1716.0,1792.0,64.8,73.0,79.1,
2119589,15604.3,15604.3,,1135.0,1301.0,49.9,58.4,63.7,
2119854,2648.7,2648.7,,232.0,301.0,,,,
2127493,160.0,160.0,,27.0,16.0,41.3,48.8,52.8,
2146224,3019.7,3019.7,,273.0,285.0,42.2,49.3,54.5,
2161547,160.0,160.0,,27.0,16.0,41.3,48.8,52.8,
2184375,2492.7,2492.7,,303.0,229.0,46.0,53.1,57.7,
2195885,13041.0,13041.0,,642.0,1104.0,,,,
2214973,271.3,271.3,,18.0,30.0,25.4,34.5,39.7,
2215072,27281.0,27281.0,,1815.0,1958.0,44.5,56.0,62.0,
2215096,11132.7,11132.7,,651.0,1493.0,,,,
2216140,8187.0,8187.0,,472.0,763.0,,,,
2216170,9563.7,9563.7,,759.0,800.0,,,,
2216186,8972.3,8972.3,,481.0,859.0,,,,
2216248,19830.0,19830.0,,2583.0,1169.0,,,,
2219434,2307.0,2307.0,,222.0,241.0,40.3,48.0,53.1,
2219485,4691.3,4691.3,,582.0,493.0,,,,0.083
2236397,2407.0,2407.0,,220.0,176.0,43.4,51.6,57.8,
2250094,762.3,762.3,,83.0,104.0,30.0,39.3,44.3,
2261357,134.0,134.0,,6.0,16.0,28.6,38.8,43.4,
2261451,2029.0,2029.0,,281.0,226.0,36.3,44.1,48.9,
2271414,14332.0,14332.0,,1144.0,1196.0,42.0,51.6,57.2,
2271438,1876.0,1876.0,,166.0,179.0,,,,0.041
2283499,304.0,304.0,,21.0,29.0,27.5,36.7,41.6,
2286552,18292.0,18292.0,,1346.0,1413.0,48.6,58.3,64.0,
2286559,19724.9,22223.6,13894.7,1375.0,1674.0,,,,
2291972,3329.3,3329.3,,439.0,223.0,,,,
2295440,2491.0,2491.0,,202.0,209.0,27.2,34.8,39.9,
2297577,798.0,798.0,,64.0,63.0,36.0,42.9,47.2,
2302182,505.0,505.0,,32.0,73.0,34.5,43.4,48.1,
2302332,9249.3,9249.3,,652.0,611.0,,,,
2311874,31916.0,31916.0,,1945.0,2506.0,,,,
2311881,18788.7,18788.7,,1464.0,1289.0,,,,
2312030,5848.0,5848.0,,414.0,486.0,,,,
2312055,15817.0,15817.0,,1377.0,1173.0,,,,
2322874,3035.3,3035.3,,162.0,268.0,25.9,33.6,37.3,
2326208,18371.0,18371.0,,1106.0,1122.0,40.5,52.3,58.9,
2334784,8879.3,9187.8,8108.0,571.0,658.0,39.1,45.0,49.5,
2350865,722.7,722.7,,123.0,101.0,34.1,42.7,47.5,
2360239,1549.3,1549.3,,140.0,144.0,,,,
2360243,1314.7,1314.7,,181.0,123.0,43.1,51.6,56.6,
2364217,1677.7,1677.7,,169.0,212.0,37.5,46.0,49.8,
2364275,327.7,327.7,,41.0,33.0,31.2,38.2,41.8,
2364382,18403.0,18403.0,,1143.0,1437.0,50.5,62.5,68.3,
2364618,200.7,200.7,,20.0,17.0,29.3,37.0,39.4,
2364668,937.3,937.3,,86.0,155.0,32.9,38.8,42.6,
2370044,22113.0,22590.2,20920.0,1386.0,1569.0,61.9,71.6,78.4,
2374877,12434.7,12434.7,,990.0,1009.0,,,,
2375302,5190.3,5190.3,,420.0,416.0,40.0,47.3,51.9,
2375336,1137.7,1137.7,,63.0,142.0,28.9,34.9,39.2,
2375497,906.7,906.7,,108.0,70.0,30.2,37.9,42.5,
2375694,773.0,773.0,,81.0,70.0,42.9,52.2,56.4,
2375729,2576.6,2971.0,1590.5,188.0,234.0,52.6,61.6,67.7,
2376168,21084.7,21084.7,,1671.0,1571.0,36.5,47.9,53.1,
2377569,2944.0,2944.0,,204.0,247.0,,,,
2377633,6602.0,6602.0,,757.0,598.0,29.4,34.5,38.5,
2385742,18402.0,18402.0,,1289.0,1555.0,45.6,53.4,58.5,
2385779,6342.3,6342.3,,326.0,509.0,,,,
2408386,1099.0,1099.0,,106.0,115.0,40.7,49.2,54.2,
2413116,1565.3,1565.3,,160.0,188.0,,,,
2413120,5716.7,5716.7,,510.0,709.0,,,,
2426219,8535.0,8535.0,,885.0,691.0,,,,
2426407,8364.6,8685.8,7561.5,600.0,690.0,40.7,47.8,51.9,
2426655,1875.3,1875.3,,123.0,190.0,17.3,26.5,31.3,
2458256,10622.7,10622.7,,1252.0,674.0,,,,
2489590,2712.3,2712.3,,195.0,220.0,35.3,42.4,45.0,
2489981,6401.0,6401.0,,588.0,616.0,35.5,44.4,49.1,
2542939,3804.7,3804.7,,267.0,392.0,35.6,43.9,49.3,
2555858,2462.7,2462.7,,185.0,275.0,32.4,38.8,43.3,
2597802,34545.7,34545.7,,2361.0,2401.0,,,,
2625664,10023.3,10023.3,,605.0,787.0,,,,
2642478,1262.7,1262.7,,185.0,186.0,37.9,46.8,52.6,
2642482,421.5,421.5,,86.0,45.0,25.5,33.4,38.1,
2676198,5130.0,5130.0,,467.0,400.0,,,,
2676282,695.0,695.0,,101.0,70.0,43.4,51.8,56.5,
2676307,1194.7,1194.7,,109.0,95.0,32.9,39.6,44.0,
2676387,13642.7,13642.7,,1302.0,1118.0,53.2,61.3,66.6,
2687559,2055.3,2055.3,,199.0,158.0,,,,
2688858,1405.0,1405.0,,177.0,122.0,,,,
2689028,57596.0,57596.0,,4474.0,4326.0,,,,
2689046,30536.0,30536.0,,3177.0,1659.0,,,,
2689152,2052.7,2052.7,,140.0,162.0,,,,
2689186,3513.7,3513.7,,301.0,293.0,46.0,53.7,59.1,
2689969,6839.0,6839.0,,714.0,701.0,39.6,47.1,51.4,
2690043,7609.0,7609.0,,818.0,858.0,38.1,44.8,49.7,
2751064,2724.0,2724.0,,205.0,222.0,27.2,34.8,39.2,
2798981,3042.3,3042.3,,176.0,284.0,,,,
2809337,942.3,942.3,,80.0,90.0,22.4,32.6,37.3,
2809364,738.3,738.3,,57.0,62.0,27.9,37.4,41.9,
2809720,1548.3,1548.3,,104.0,133.0,,,,
