centreline_id,segment_length,crash_count,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct,log_volume,crash_rate,exposure,log_exposure
7685,58.26814781476837,0,5667.7,5667.7,,396.0,527.0,46.0,53.9,59.5,,8.642538670687143,0.0,330246.38136976265,12.70759426507931
7463,115.17714505413096,0,10303.7,10303.7,,846.0,957.0,,,,,9.240258333013456,0.0,1186750.7494942492,13.986729667965292
30017943,117.24745322588156,0,1792.0,1792.0,,94.0,209.0,36.7,43.9,48.8,,7.491087593534876,0.0,210107.43618077974,12.255374279737358
60029093,384.1023871408776,0,5739.3,5739.3,,352.0,360.0,,,,,8.655092530657445,0.0,2204478.830517639,14.606001680884232
913494,18.360443709381546,0,27753.0,27753.0,,1776.0,2066.0,,,,,10.231099221439429,0.0,509557.394266466,13.141297773517396
913620,394.1064318106264,0,2960.0,2960.0,,317.0,221.0,,,,,7.992944547318106,0.0,1166555.0381594542,13.969565551636148
1140618,92.2230295687377,0,3679.3,3679.3,,552.0,214.0,,,,,8.21047779567805,0.0,339316.19269225665,12.734687673453962
6172462,392.66426028870114,0,16692.3,16692.3,,2355.0,1273.0,,,,,9.72270281423146,0.0,6554469.632017086,15.69565776145908
439092,20.67559682292585,0,15020.0,15020.0,,967.0,1911.0,,,,,9.617137925318126,0.0,310547.4642803463,12.646092032700036
14128641,291.8683677266102,0,5321.3,5321.3,,391.0,459.0,,,,,8.579472913386683,0.0,1553119.145183611,14.255775818559332
60029462,144.75978234633723,0,29295.3,29295.3,,1707.0,2271.0,,,,,10.285182372581856,0.0,4240781.251770653,15.260258067727891
7262,97.992674616475,0,3317.0,3317.0,,346.0,382.0,33.6,41.0,44.8,,8.106816038947052,0.0,325041.70170284755,12.691708766012313
10035820,146.84291738230655,0,1997.3,1997.3,,365.0,164.0,36.5,44.6,49.7,,7.599551547471126,0.0,293289.35888768086,12.588914973665315
7225,81.32412849988675,0,20935.3,20935.3,,1488.0,1607.0,,,,,9.949192008419832,0.0,1702545.027383679,14.347634764458522
7236,438.2248250163428,0,569.5,569.5,,54.0,56.0,33.0,42.5,46.5,,6.3447587828872365,0.0,249569.03784680722,12.427490860694821
1143729,305.8520989510015,0,6855.0,6855.0,,546.0,642.0,,,,,8.832733591996416,0.0,2096616.1383091153,14.555835240342498
14013304,49.00201354138847,0,708.3,708.3,,55.0,77.0,28.3,37.0,41.1,,6.562867732759577,0.0,34708.12619136545,10.45472912270732
14013259,49.84419293199618,0,815.7,815.7,,76.0,96.0,29.1,36.9,39.7,,6.704046640306535,0.0,40657.90817462929,10.612948639096224
60029515,98.72812773393674,0,1274.3,1274.3,,101.0,112.0,27.4,34.4,39.3,,7.1501522872182335,0.0,125809.2531713556,11.742522175164737
60029028,378.313349994202,0,7134.0,7134.0,,390.0,521.0,,,,,8.872627365918836,0.0,2698887.438858637,14.808350186372651
913533,185.2151280849899,0,2222.3,2222.3,,166.0,160.0,,,,,7.706297974587423,0.0,411603.5791432731,12.92781597858759
444780,51.67304370346629,0,9376.7,9376.7,,758.0,830.0,43.5,51.3,54.8,,9.145983167733043,0.0,484522.6288942924,13.090919414886457
444927,113.21110359973648,0,5004.5,5004.5,,371.0,495.0,41.9,48.6,53.1,,8.518092786659073,0.0,566564.9679648812,13.247347035954704
12157138,56.16241894582011,0,4998.0,4998.0,,406.0,515.0,45.1,53.7,58.8,,8.516793111394898,0.0,280699.7698912089,12.545040942581947
444264,229.19219412377356,0,7983.0,7983.0,,505.0,546.0,46.5,52.4,55.0,,8.9850695596458,0.0,1829641.2856900843,14.41963048685483
60029806,126.89361613478628,0,22135.0,22135.0,,2055.0,1489.0,,,,,10.004915345166241,0.0,2808790.1931434944,14.848264412354721
3633443,113.75253467384658,0,30850.3,30850.3,,1615.0,2197.0,,,,,10.33690175375951,0.0,3509299.820448569,15.070927094189313
444411,145.1571677110791,0,16762.7,16762.7,,1710.0,1054.0,,,,,9.726911458913237,0.0,2433226.0551905055,14.704728529570643
60029870,201.3133664543707,0,8719.0,8719.0,,718.0,574.0,,,,,9.073259831427816,0.0,1755251.2421156582,14.37812256253665
444403,113.1650742300655,0,2944.0,2944.0,,357.0,204.0,,,,,7.987524479848767,0.0,333157.97853331285,12.716372066475678
60029885,98.2049018753459,0,25409.3,25409.3,,1397.0,1665.0,51.2,61.4,67.6,,10.142870527725384,0.0,2495317.8132212264,14.729926659104194
60029920,377.0692289539034,0,8476.0,8476.0,,433.0,536.0,,,,,9.04499391938819,0.0,3196038.784613285,14.977422721155522
444412,119.19186820212175,0,7135.0,7135.0,,185.0,590.0,,,,,8.872767529910936,0.0,850433.9796221387,13.653502062434253
