route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
100,1,50089264,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196788,1100982,1,1
100,1,50089263,South - 100A Flemingdon Park towards Broadview Station,A,0,2196772,1100983,1,1
100,1,50089262,South - 100A Flemingdon Park towards Broadview Station,A,0,2196771,1100983,1,1
100,1,50089261,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196787,1100982,1,1
100,1,50089260,South - 100A Flemingdon Park towards Broadview Station,A,0,2196776,1100983,1,1
100,1,50089259,South - 100A Flemingdon Park towards Broadview Station,A,0,2196785,1100983,1,1
100,1,50089258,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196775,1100982,1,1
100,1,50089257,South - 100A Flemingdon Park towards Broadview Station,A,0,2196784,1100983,1,1
100,1,50089256,South - 100A Flemingdon Park towards Broadview Station,A,0,2196774,1100983,1,1
100,1,50089255,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196786,1100982,1,1
100,1,50089254,South - 100A Flemingdon Park towards Broadview Station,A,0,2196773,1100983,1,1
100,1,50089253,South - 100A Flemingdon Park towards Broadview Station,A,0,2196781,1100983,1,1
100,1,50089252,South - 100B Flemingdon Park towards Broadview Station via Linkwood,B,0,2196777,1100982,1,1
100,1,50089251,South - 100A Flemingdon Park towards Broadview Station,A,0,2196772,1100983,1,1
100,1,50089250,South - 100A Flemingdon Park towards Broadview Station,A,0,2196771,1100983,1,1
100,1,50089249,South - 100A Flemingdon Park towards Broadview Station,A,0,2196776,1100983,1,1
100,1,50089248,South - 100A Flemingdon Park towards Broadview Station,A,0,2196775,1100983,1,1
100,1,50089247,South - 100A Flemingdon Park towards Broadview Station,A,0,2196774,1100983,1,1
100,1,50089246,South - 100A Flemingdon Park towards Broadview Station,A,0,2196773,1100983,1,1
100,1,50089245,South - 100A Flemingdon Park towards Broadview Station,A,0,2196777,1100983,1,1
100,1,50089244,South - 100A Flemingdon Park towards Broadview Station,A,0,2196772,1100983,1,1
100,1,50089243,South - 100A Flemingdon Park towards Broadview Station,A,0,2196771,1100983,1,1
100,1,50089242,South - 100A Flemingdon Park towards Broadview Station,A,0,2196776,1100983,1,1
100,1,50089241,South - 100A Flemingdon Park towards Broadview Station,A,0,2196775,1100983,1,1
100,1,50089240,South - 100A Flemingdon Park towards Broadview Station,A,0,2196774,1100983,1,1
100,1,50089215,South - 100A Flemingdon Park towards Broadview Station,A,0,2196773,1100983,1,1
100,1,50089214,South - 100A Flemingdon Park towards Broadview Station,A,0,2196777,1100983,1,1
100,1,50089213,South - 100A Flemingdon Park towards Broadview Station,A,0,2196772,1100983,1,1
100,1,50089212,South - 100A Flemingdon Park towards Broadview Station,A,0,2196771,1100983,1,1
100,1,50089211,South - 100A Flemingdon Park towards Broadview Station,A,0,2196776,1100983,1,1
100,1,50089210,South - 100A Flemingdon Park towards Broadview Station,A,0,2196775,1100983,1,1
100,1,50089209,South - 100A Flemingdon Park towards Broadview Station,A,0,2196774,1100983,1,1
100,1,50089208,South - 100A Flemingdon Park towards Broadview Station,A,0,2196773,1100983,1,1
100,1,50089207,South - 100A Flemingdon Park towards Broadview Station,A,0,2196772,1100983,1,1
100,1,50089206,South - 100A Flemingdon Park towards Broadview Station,A,0,2196771,1100983,1,1
100,1,50089376,South - 100A Flemingdon Park towards Broadview Station,A,0,2196776,1100983,1,1
100,1,50089375,South - 100A Flemingdon Park towards Broadview Station,A,0,2196775,1100983,1,1
100,1,50089374,South - 100A Flemingdon Park towards Broadview Station,A,0,2196774,1100983,1,1
100,1,50089373,South - 100A Flemingdon Park towards Broadview Station,A,0,2196773,1100983,1,1
100,1,50089372,South - 100A Flemingdon Park towards Broadview Station,A,0,2196772,1100983,1,1
100,1,50089371,South - 100A Flemingdon Park towards Broadview Station,A,0,2196771,1100983,1,1
100,1,50089370,South - 100A Flemingdon Park towards Broadview Station,A,0,2196776,1100983,1,1
100,1,50089369,South - 100A Flemingdon Park towards Broadview Station,A,0,2196775,1100983,1,1
100,1,50089368,South - 100A Flemingdon Park towards Broadview Station,A,0,2196774,1100983,1,1
100,1,50089367,South - 100A Flemingdon Park towards Broadview Station,A,0,2196773,1100983,1,1
100,1,50089366,South - 100A Flemingdon Park towards Broadview Station,A,0,2196772,1100983,1,1
100,1,50089365,South - 100A Flemingdon Park towards Broadview Station,A,0,2196771,1100983,1,1
100,1,50089364,South - 100A Flemingdon Park towards Broadview Station,A,0,2196776,1100983,1,1
100,1,50089377,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196779,1100985,1,1
100,1,50089378,North - 100B Flemingdon Park towards Don Valley Station via Linkwood,B,1,2196776,1100984,1,1
100,1,50089379,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196778,1100985,1,1
100,1,50089387,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196783,1100987,1,1
100,1,50089389,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196785,1100985,1,1
100,1,50089388,North - 100B Flemingdon Park towards Don Valley Station via Linkwood,B,1,2196784,1100984,1,1
100,1,50089386,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196773,1100987,1,1
100,1,50089385,North - 100B Flemingdon Park towards Don Valley Station via Linkwood,B,1,2196782,1100986,1,1
100,1,50089384,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196781,1100987,1,1
100,1,50089383,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196780,1100987,1,1
100,1,50089382,North - 100B Flemingdon Park towards Don Valley Station via Linkwood,B,1,2196777,1100986,1,1
100,1,50089381,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196772,1100987,1,1
100,1,50089380,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196771,1100987,1,1
100,1,50089410,North - 100B Flemingdon Park towards Don Valley Station via Linkwood,B,1,2196779,1100986,1,1
100,1,50089409,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196776,1100987,1,1
100,1,50089408,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196778,1100987,1,1
100,1,50089407,North - 100B Flemingdon Park towards Don Valley Station via Linkwood,B,1,2196785,1100986,1,1
100,1,50089406,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196784,1100987,1,1
100,1,50089405,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196783,1100987,1,1
100,1,50089404,North - 100B Flemingdon Park towards Don Valley Station via Linkwood,B,1,2196773,1100986,1,1
100,1,50089403,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196782,1100987,1,1
100,1,50089402,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196781,1100987,1,1
100,1,50089401,North - 100B Flemingdon Park towards Don Valley Station via Linkwood,B,1,2196780,1100986,1,1
100,1,50089400,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196777,1100987,1,1
100,1,50089399,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196772,1100987,1,1
100,1,50089398,North - 100B Flemingdon Park towards Don Valley Station via Linkwood,B,1,2196771,1100986,1,1
100,1,50089397,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196779,1100987,1,1
100,1,50089396,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196776,1100987,1,1
100,1,50089395,North - 100B Flemingdon Park towards Don Valley Station via Linkwood,B,1,2196778,1100986,1,1
100,1,50089394,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196785,1100987,1,1
100,1,50089393,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196784,1100987,1,1
100,1,50089392,North - 100B Flemingdon Park towards Don Valley Station via Linkwood,B,1,2196783,1100986,1,1
100,1,50089391,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196774,1100987,1,1
100,1,50089390,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196773,1100987,1,1
100,1,50089546,North - 100B Flemingdon Park towards Don Valley Station via Linkwood,B,1,2196782,1100986,1,1
100,1,50089545,North - 100A Flemingdon Park towards Don Valley Station,A,1,2196781,1100987,1,1
